회사명,항목,외인,기관,개인,개반,법인,총점
고려아연,합산,36.3,90.6,8.3,91.7,75.5,72.9
두산에너빌리티,1년,86.3,85.7,11.9,88.1,47.4,86.7
두산에너빌리티,2년,84.3,80.7,15.2,84.8,39.4,83.3
두산에너빌리티,3년,58.4,66.0,25.2,74.8,74.1,66.4
두산에너빌리티,합산,76.3,77.5,17.4,82.6,53.6,78.8
HD현대일렉트릭,1년,98.5,3.4,7.4,92.6,5.5,64.8
HD현대일렉트릭,2년,99.2,1.1,3.7,96.3,4.5,65.5
HD현대일렉트릭,3년,98.7,18.1,14.3,85.7,3.6,67.5
HD현대일렉트릭,합산,98.8,7.5,8.5,91.5,4.5,65.9
LG전자,1년,50.6,88.7,43.3,56.7,17.5,65.3
LG전자,2년,42.0,87.4,35.4,64.6,22.4,64.7
LG전자,3년,59.8,87.3,22.3,77.7,29.1,74.9
LG전자,합산,50.8,87.8,33.7,66.3,23.0,68.3
한국전력,1년,71.6,89.2,14.7,85.3,57.6,82.0
한국전력,2년,84.1,93.8,7.5,92.5,78.3,90.1
한국전력,3년,77.9,77.8,26.6,73.4,48.6,76.4
한국전력,합산,77.9,86.9,16.3,83.7,61.5,82.8
SK스퀘어,1년,88.4,81.3,8.9,91.1,14.7,86.9
SK스퀘어,2년,97.3,94.0,2.5,97.5,3.7,96.3
SK스퀘어,3년,88.6,93.8,6.7,93.3,6.5,91.9
SK스퀘어,합산,91.4,89.7,6.0,94.0,8.3,91.7
KT&G,1년,49.5,55.3,2.5,97.5,94.4,67.4
KT&G,2년,38.6,52.6,3.6,96.4,90.8,62.5
KT&G,3년,68.3,30.7,13.3,86.7,86.6,61.9
KT&G,합산,52.1,46.2,6.5,93.5,90.6,63.9
에코프로비엠,1년,21.0,48.6,80.8,19.2,88.1,29.6
에코프로비엠,2년,57.9,17.1,59.2,40.8,63.9,38.6
에코프로비엠,3년,31.2,8.0,83.3,16.7,44.3,18.6
에코프로비엠,합산,36.7,24.6,74.4,25.6,65.4,28.9
한미반도체,1년,65.6,52.9,30.7,69.3,53.0,62.6
한미반도체,2년,91.8,34.2,8.0,92.0,17.7,72.7
한미반도체,3년,94.9,69.0,6.4,93.6,10.8,85.8
한미반도체,합산,84.1,52.0,15.0,85.0,27.2,73.7
기업은행,1년,55.5,57.8,27.3,72.7,45.7,62.0
기업은행,2년,90.2,62.6,3.6,96.4,27.4,83.1
기업은행,3년,89.9,47.1,6.9,93.1,42.8,76.7
기업은행,합산,78.5,55.8,12.6,87.4,38.6,73.9
우리금융지주,1년,90.5,41.7,6.6,93.4,12.4,75.2
우리금융지주,2년,95.0,73.8,2.9,97.1,7.0,88.6
우리금융지주,3년,67.6,69.2,5.5,94.5,12.5,77.1
우리금융지주,합산,84.4,61.6,5.0,95.0,10.6,80.3
SK텔레콤,1년,70.5,93.5,7.7,92.3,30.8,85.4
SK텔레콤,2년,26.8,94.6,11.2,88.8,80.9,70.1
SK텔레콤,3년,57.9,71.7,15.0,85.0,53.1,71.5
SK텔레콤,합산,51.7,86.6,11.3,88.7,54.9,75.7
삼성중공업,1년,96.4,59.2,2.9,97.1,20.9,84.2
삼성중공업,2년,97.7,87.6,1.7,98.3,26.9,94.5
삼성중공업,3년,98.2,92.1,1.5,98.5,39.9,96.3
삼성중공업,합산,97.4,79.6,2.0,98.0,29.2,91.7
LG,1년,77.5,46.9,17.8,82.2,28.3,68.9
LG,2년,69.5,37.8,50.5,49.5,27.2,52.3
LG,3년,48.6,66.5,26.8,73.2,23.6,62.8
LG,합산,65.2,50.4,31.7,68.3,26.4,61.3
KT,1년,93.2,83.8,4.0,96.0,42.2,91.0
KT,2년,95.4,79.4,3.2,96.8,81.0,90.5
KT,3년,93.3,61.5,8.4,91.6,54.1,82.1
KT,합산,94.0,74.9,5.2,94.8,59.1,87.9
포스코퓨처엠,1년,11.0,91.4,28.6,71.4,74.5,57.9
포스코퓨처엠,2년,65.2,70.5,30.3,69.7,62.6,68.5
포스코퓨처엠,3년,59.2,31.0,52.8,47.2,85.7,45.8
포스코퓨처엠,합산,45.1,64.3,37.2,62.8,74.3,57.4
SK,1년,82.8,84.1,9.9,90.1,25.0,85.7
SK,2년,77.2,76.4,18.0,82.0,29.6,78.5
SK,3년,34.3,90.8,22.5,77.5,11.7,67.5
SK,합산,64.8,83.8,16.8,83.2,22.1,77.2
HLB,1년,64.5,39.7,45.9,54.1,36.5,52.8
HLB,2년,88.9,80.9,9.7,90.3,13.9,86.7
HLB,3년,89.4,73.8,10.3,89.7,33.4,84.3
HLB,합산,80.9,64.8,22.0,78.0,27.9,74.6
유한양행,1년,74.7,4.4,94.9,5.1,10.6,28.1
유한양행,2년,58.5,10.5,89.9,10.1,9.1,26.4
유한양행,3년,64.3,9.9,88.9,11.1,29.7,28.4
유한양행,합산,65.8,8.3,91.2,8.8,16.5,27.6
카카오뱅크,1년,79.4,94.8,7.5,92.5,75.1,88.9
카카오뱅크,2년,47.0,65.8,45.0,55.0,68.6,55.9
카카오뱅크,3년,57.2,81.5,24.9,75.1,35.1,71.3
카카오뱅크,합산,61.2,80.7,25.8,74.2,59.6,72.0
현대글로비스,1년,77.2,94.7,9.3,90.7,13.7,87.5
현대글로비스,2년,85.9,94.7,5.5,94.5,13.1,91.7
현대글로비스,3년,73.0,72.1,10.8,89.2,16.1,78.1
현대글로비스,합산,78.7,87.2,8.5,91.5,14.3,85.8
삼성에스디에스,1년,49.2,35.0,66.6,33.4,49.5,39.2
삼성에스디에스,2년,80.3,81.0,9.9,90.1,8.3,83.8
삼성에스디에스,3년,73.0,69.3,16.0,84.0,12.1,75.4
삼성에스디에스,합산,67.5,61.8,30.8,69.2,23.3,66.1
삼성전기,1년,47.3,90.7,9.1,90.9,61.7,76.3
삼성전기,2년,42.3,76.8,34.0,66.0,64.3,61.7
삼성전기,3년,56.1,75.4,34.7,65.3,37.4,65.6
삼성전기,합산,48.6,81.0,25.9,74.1,54.5,67.9
하이브,1년,75.4,91.4,9.1,90.9,38.8,85.9
하이브,2년,40.1,86.2,6.5,93.5,76.1,73.3
하이브,3년,52.2,85.8,12.2,87.8,57.6,75.3
하이브,합산,55.9,87.8,9.3,90.7,57.5,78.2
대한항공,1년,88.5,90.9,8.8,91.2,29.0,90.2
대한항공,2년,51.0,61.7,42.2,57.8,19.4,56.8
대한항공,3년,12.7,65.4,69.5,30.5,27.3,36.2
대한항공,합산,50.7,72.7,40.2,59.8,25.2,61.1
HD현대마린솔루션,1년,72.9,42.0,23.0,77.0,53.7,64.0
HD현대마린솔루션,2년,72.9,42.0,23.0,77.0,53.7,64.0
HD현대마린솔루션,3년,72.9,42.0,23.0,77.0,53.7,64.0
HD현대마린솔루션,합산,72.9,42.0,23.0,77.0,53.7,64.0
SK바이오팜,1년,86.8,73.3,6.5,93.5,69.9,84.5
SK바이오팜,2년,91.2,75.0,4.6,95.4,39.7,87.2
SK바이오팜,3년,88.2,74.6,11.8,88.2,32.4,83.7
SK바이오팜,합산,88.7,74.3,7.6,92.4,47.3,85.1
에코프로,1년,12.0,6.2,91.3,8.7,95.2,9.0
에코프로,2년,25.1,13.9,81.7,18.3,71.0,19.1
에코프로,3년,48.4,6.1,87.9,12.1,30.1,22.2
에코프로,합산,28.5,8.7,87.0,13.0,65.4,16.8
포스코인터내셔널,1년,40.8,50.0,53.4,46.6,69.8,45.8
포스코인터내셔널,2년,35.5,12.1,92.6,7.4,86.8,18.3
포스코인터내셔널,3년,54.5,7.7,91.0,9.0,81.7,23.7
포스코인터내셔널,합산,43.6,23.3,79.0,21.0,79.4,29.3
아모레퍼시픽,1년,67.2,92.5,2.5,97.5,48.4,85.7
아모레퍼시픽,2년,71.7,88.0,10.5,89.5,58.0,83.1
아모레퍼시픽,3년,75.8,72.0,13.4,86.6,42.9,78.1
아모레퍼시픽,합산,71.6,84.2,8.8,91.2,49.8,82.3
S-Oil,1년,95.6,95.6,2.3,97.7,12.4,96.3
S-Oil,2년,91.5,92.2,2.3,97.7,9.5,93.8
S-Oil,3년,89.6,83.1,6.0,94.0,21.0,88.9
S-Oil,합산,92.2,90.3,3.5,96.5,14.3,93.0
HD현대,1년,92.1,14.4,6.2,93.8,25.7,66.8
HD현대,2년,82.5,67.6,2.9,97.1,73.4,82.4
HD현대,3년,86.5,75.6,5.4,94.6,77.0,85.6
HD현대,합산,87.0,52.5,4.8,95.2,58.7,78.3
SKC,1년,43.9,61.1,54.7,45.3,15.5,50.1
SKC,2년,45.4,29.9,68.5,31.5,17.3,35.6
SKC,3년,64.4,62.5,43.3,56.7,26.1,61.2
SKC,합산,51.2,51.2,55.5,44.5,19.6,49.0
DB손해보험,1년,89.3,20.4,10.9,89.1,49.8,66.3
DB손해보험,2년,94.5,6.9,20.8,79.2,57.1,60.2
DB손해보험,3년,97.3,4.0,9.9,90.1,76.5,63.8
DB손해보험,합산,93.7,10.4,13.9,86.1,61.1,63.4
LS ELECTRIC,1년,75.0,40.6,9.1,90.9,16.6,68.8
LS ELECTRIC,2년,85.7,18.9,55.1,44.9,30.7,49.8
LS ELECTRIC,3년,85.9,18.8,51.7,48.3,59.3,51.0
LS ELECTRIC,합산,82.2,26.1,38.6,61.4,35.5,56.5
현대로템,1년,92.9,82.8,4.9,95.1,10.7,90.3
현대로템,2년,94.5,87.2,3.8,96.2,22.1,92.6
현대로템,3년,95.4,89.0,3.7,96.3,47.4,93.6
현대로템,합산,94.3,86.3,4.1,95.9,26.7,92.2
코웨이,1년,18.4,93.2,7.4,92.6,35.3,68.1
코웨이,2년,58.2,97.2,1.8,98.2,14.4,84.5
코웨이,3년,54.4,93.6,4.9,95.1,53.8,81.0
코웨이,합산,43.7,94.7,4.7,95.3,34.5,77.9
한진칼,1년,55.0,78.2,16.2,83.8,72.8,72.3
한진칼,2년,92.1,35.2,3.7,96.3,68.5,74.5
한진칼,3년,82.2,45.7,10.8,89.2,55.4,72.4
한진칼,합산,76.4,53.0,10.2,89.8,65.6,73.1
삼양식품,1년,85.5,14.4,76.8,23.2,62.9,41.0
삼양식품,2년,89.2,6.3,72.8,27.2,75.5,40.9
삼양식품,3년,88.3,44.9,34.1,65.9,43.7,66.4
삼양식품,합산,87.7,21.9,61.2,38.8,60.7,49.4
HD현대미포,1년,32.3,97.0,4.1,95.9,82.0,75.1
HD현대미포,2년,29.6,96.1,7.1,92.9,76.9,72.9
HD현대미포,3년,49.0,89.5,16.7,83.3,59.6,73.9
HD현대미포,합산,37.0,94.2,9.3,90.7,72.8,74.0
두산,1년,73.1,68.3,16.8,83.2,63.3,74.9
두산,2년,88.4,38.0,14.2,85.8,36.6,70.7
두산,3년,88.1,31.7,17.9,82.1,25.0,67.3
두산,합산,83.2,46.0,16.3,83.7,41.6,71.0
한국항공우주,1년,84.5,56.2,12.8,87.2,73.9,76.0
한국항공우주,2년,88.3,47.6,9.4,90.6,73.3,75.5
한국항공우주,3년,85.5,39.8,8.0,92.0,66.2,72.4
한국항공우주,합산,86.1,47.9,10.1,89.9,71.1,74.6
에코프로머티,1년,77.8,31.0,21.5,78.5,79.1,62.4
에코프로머티,2년,77.3,33.5,29.4,70.6,78.6,60.5
에코프로머티,3년,77.3,33.5,29.4,70.6,78.6,60.5
에코프로머티,합산,77.5,32.7,26.8,73.2,78.8,61.1
맥쿼리인프라,1년,88.4,91.9,8.0,92.0,6.8,90.8
맥쿼리인프라,2년,79.9,86.0,15.6,84.4,15.3,83.4
맥쿼리인프라,3년,78.6,82.3,16.8,83.2,21.0,81.4
맥쿼리인프라,합산,82.3,86.7,13.5,86.5,14.4,85.2
두산밥캣,1년,92.1,10.7,4.3,95.7,39.3,66.2
두산밥캣,2년,72.0,41.2,10.8,89.2,39.9,67.5
두산밥캣,3년,86.1,18.7,13.5,86.5,21.2,63.8
두산밥캣,합산,83.4,23.5,9.5,90.5,33.5,65.8
한국타이어앤테크놀로지,1년,91.5,64.7,3.8,96.2,8.8,84.1
한국타이어앤테크놀로지,2년,91.6,24.9,7.5,92.5,8.4,69.7
한국타이어앤테크놀로지,3년,83.1,31.1,7.9,92.1,8.0,68.8
한국타이어앤테크놀로지,합산,88.7,40.2,6.4,93.6,8.4,74.2
레인보우로보틱스,1년,55.2,83.7,28.9,71.1,35.9,70.0
레인보우로보틱스,2년,77.4,81.5,16.7,83.3,48.5,80.7
레인보우로보틱스,3년,84.5,13.5,77.1,22.9,6.9,40.3
레인보우로보틱스,합산,72.4,59.6,40.9,59.1,30.4,63.7
한화시스템,1년,84.8,60.3,12.2,87.8,13.6,77.6
한화시스템,2년,93.4,59.1,4.7,95.3,33.5,82.6
한화시스템,3년,87.2,56.8,6.9,93.1,36.7,79.0
한화시스템,합산,88.5,58.7,7.9,92.1,27.9,79.7
LIG넥스원,1년,91.3,11.0,27.3,72.7,37.7,58.3
LIG넥스원,2년,97.4,11.1,14.3,85.7,33.2,64.7
LIG넥스원,3년,96.3,10.6,16.3,83.7,34.4,63.5
LIG넥스원,합산,95.0,10.9,19.3,80.7,35.1,62.2
미래에셋증권,1년,34.6,79.5,16.8,83.2,64.9,65.8
미래에셋증권,2년,20.6,90.9,8.0,92.0,23.2,67.8
미래에셋증권,3년,46.1,72.6,23.2,76.8,32.6,65.2
미래에셋증권,합산,33.8,81.0,16.0,84.0,40.2,66.3
효성중공업,1년,86.1,93.2,5.1,94.9,19.8,91.4
효성중공업,2년,93.6,89.1,4.2,95.8,19.3,92.8
효성중공업,3년,95.1,89.1,7.5,92.5,17.6,92.2
효성중공업,합산,91.6,90.5,5.6,94.4,18.9,92.1
LG생활건강,1년,26.1,91.9,13.3,86.7,72.1,68.2
LG생활건강,2년,90.4,52.8,1.7,98.3,25.6,80.5
LG생활건강,3년,96.3,36.7,1.5,98.5,10.7,77.2
LG생활건강,합산,70.9,60.5,5.5,94.5,36.1,75.3
NH투자증권,1년,92.5,95.4,3.4,96.6,18.8,94.8
NH투자증권,2년,93.7,92.4,0.9,99.1,5.9,95.1
NH투자증권,3년,94.5,91.5,1.1,98.9,48.3,95.0
NH투자증권,합산,93.6,93.1,1.8,98.2,24.3,95.0
삼성카드,1년,80.5,92.9,6.4,93.6,56.2,89.0
삼성카드,2년,76.2,98.6,1.9,98.1,92.7,91.0
삼성카드,3년,54.5,95.7,2.3,97.7,90.0,82.6
삼성카드,합산,70.4,95.7,3.5,96.5,79.6,87.5
LG디스플레이,1년,82.7,66.6,9.7,90.3,37.8,79.9
LG디스플레이,2년,87.1,73.5,7.9,92.1,17.6,84.2
LG디스플레이,3년,45.4,80.9,32.6,67.4,16.2,64.6
LG디스플레이,합산,71.7,73.7,16.7,83.3,23.9,76.2
리가켐바이오,1년,87.9,81.1,9.6,90.4,90.9,86.5
리가켐바이오,2년,91.2,36.4,30.0,70.0,76.3,65.9
리가켐바이오,3년,88.2,34.8,26.7,73.3,79.0,65.4
리가켐바이오,합산,89.1,50.8,22.1,77.9,82.1,72.6
LG유플러스,1년,54.0,83.8,17.6,82.4,45.4,73.4
LG유플러스,2년,73.1,82.0,10.1,89.9,21.3,81.7
LG유플러스,3년,49.8,94.3,14.2,85.8,23.3,76.6
LG유플러스,합산,59.0,86.7,14.0,86.0,30.0,77.2
두산로보틱스,1년,25.4,83.0,39.1,60.9,79.4,56.4
두산로보틱스,2년,35.6,61.2,44.4,55.6,75.6,50.8
두산로보틱스,3년,35.6,61.2,44.4,55.6,75.6,50.8
두산로보틱스,합산,32.2,68.5,42.6,57.4,76.9,52.7
한국금융지주,1년,82.8,90.5,7.3,92.7,18.2,88.7
한국금융지주,2년,84.8,94.2,3.5,96.5,15.6,91.8
한국금융지주,3년,57.3,88.1,15.2,84.8,32.9,76.7
한국금융지주,합산,75.0,90.9,8.7,91.3,22.2,85.7
삼천당제약,1년,49.5,25.4,80.2,19.8,17.8,31.6
삼천당제약,2년,54.9,23.7,86.6,13.4,9.1,30.7
삼천당제약,3년,65.7,39.8,77.2,22.8,7.7,42.8
삼천당제약,합산,56.7,29.6,81.3,18.7,11.5,35.0
삼성증권,1년,18.8,93.5,5.3,94.7,70.9,69.0
삼성증권,2년,49.3,92.7,4.4,95.6,25.2,79.2
삼성증권,3년,63.5,90.4,6.7,93.3,20.4,82.4
삼성증권,합산,43.9,92.2,5.5,94.5,38.8,76.9
SK바이오사이언스,1년,24.2,86.2,50.6,49.4,88.2,53.3
SK바이오사이언스,2년,10.1,79.9,77.9,22.1,73.8,37.4
SK바이오사이언스,3년,41.0,83.1,45.8,54.2,29.1,59.4
SK바이오사이언스,합산,25.1,83.1,58.1,41.9,63.7,50.0
넷마블,1년,28.2,42.8,60.4,39.6,61.7,36.9
넷마블,2년,56.2,65.0,21.6,78.4,44.9,66.5
넷마블,3년,39.3,54.6,39.9,60.1,56.5,51.3
넷마블,합산,41.2,54.1,40.6,59.4,54.4,51.6
엔씨소프트,1년,49.5,73.2,23.6,76.4,52.5,66.4
엔씨소프트,2년,93.1,53.8,3.0,97.0,24.2,81.3
엔씨소프트,3년,90.4,71.2,4.1,95.9,22.0,85.8
엔씨소프트,합산,77.7,66.1,10.2,89.8,32.9,77.8
오리온,1년,53.6,74.5,22.6,77.4,35.5,68.5
오리온,2년,91.4,18.4,5.9,94.1,10.4,68.0
오리온,3년,86.7,33.9,6.5,93.5,16.8,71.4
오리온,합산,77.2,42.3,11.7,88.3,20.9,69.3
LS,1년,56.3,55.6,28.6,71.4,43.8,61.1
LS,2년,62.8,26.6,64.7,35.3,76.6,41.6
LS,3년,54.3,30.2,60.2,39.8,87.7,41.4
LS,합산,57.8,37.5,51.2,48.8,69.4,48.0
BNK금융지주,1년,89.7,97.4,3.5,96.5,4.8,94.5
BNK금융지주,2년,89.8,98.8,1.9,98.1,63.5,95.6
BNK금융지주,3년,72.7,95.6,6.0,94.0,66.4,87.4
BNK금융지주,합산,84.1,97.3,3.8,96.2,44.9,92.5
현대오토에버,1년,67.8,62.5,26.0,74.0,53.0,68.1
현대오토에버,2년,61.2,53.0,40.4,59.6,52.5,57.9
현대오토에버,3년,70.8,53.4,33.7,66.3,48.7,63.5
현대오토에버,합산,66.6,56.3,33.4,66.6,51.4,63.2
LG이노텍,1년,51.2,97.5,14.1,85.9,68.2,78.2
LG이노텍,2년,33.9,93.7,13.5,86.5,60.3,71.4
LG이노텍,3년,65.1,91.2,5.3,94.7,25.7,83.7
LG이노텍,합산,50.1,94.1,11.0,89.0,51.4,77.8
JB금융지주,1년,80.3,49.2,3.3,96.7,74.3,75.4
JB금융지주,2년,88.4,68.6,3.4,96.6,93.1,84.5
JB금융지주,3년,65.9,61.2,6.1,93.9,92.0,73.7
JB금융지주,합산,78.2,59.7,4.3,95.7,86.5,77.9
CJ제일제당,1년,83.8,81.8,7.1,92.9,16.0,86.2
CJ제일제당,2년,81.4,66.6,17.4,82.6,32.9,76.9
CJ제일제당,3년,61.4,87.1,17.5,82.5,13.3,77.0
CJ제일제당,합산,75.5,78.5,14.0,86.0,20.7,80.0
삼성E&A,1년,75.9,76.4,6.7,93.3,49.4,81.9
삼성E&A,2년,72.7,60.6,11.7,88.3,37.0,73.9
삼성E&A,3년,73.3,46.4,20.1,79.9,33.5,66.5
삼성E&A,합산,74.0,61.1,12.8,87.2,40.0,74.1
강원랜드,1년,71.8,91.5,7.7,92.3,70.8,85.2
강원랜드,2년,93.8,90.4,2.0,98.0,44.8,94.1
강원랜드,3년,92.2,97.9,3.1,96.9,30.8,95.7
강원랜드,합산,85.9,93.3,4.3,95.7,48.8,91.7
GS,1년,83.0,38.8,11.2,88.8,16.1,70.2
GS,2년,59.6,76.7,11.3,88.7,10.8,75.0
GS,3년,58.9,70.8,23.1,76.9,41.9,68.9
GS,합산,67.2,62.1,15.2,84.8,22.9,71.4
시프트업,1년,50.3,33.5,65.4,34.6,70.3,39.5
시프트업,2년,50.3,33.5,65.4,34.6,70.3,39.5
시프트업,3년,50.3,33.5,65.4,34.6,70.3,39.5
시프트업,합산,50.3,33.5,65.4,34.6,70.3,39.5
클래시스,1년,94.4,62.7,3.6,96.4,44.5,84.5
클래시스,2년,95.7,13.9,5.9,94.1,17.2,67.9
